file_name,rwcount,spatial_count,br_count,br_rect_ratio,requiredFromBRDD,duplicates,duplicate_ratio,avgMBRArea,avgLenX,avgLenY,E_0,E_2,TT_area,TT_margin,TT_overlap,num_partition,load_balanceO,load_balance_new,load_balance_brdd,file_name2,rwcount2,spartial_count2,br_count2,br_rect_ratio2,requiredFromBRDD2,duplicates2,duplicate_ratio2,avgMBRArea2,avgLenX2,avgLenY2,E_02,E_22,TT_area2,TT_margin2,TT_overlap2,num_partition2,load_balanceO2,load_balance_new2,load_balance_brdd2,overlapMBRFirstDS,overlapMBRSecondDS,jaccardSimilarity,elaspsedTimeOld, elaspsedTimeNew, joinCard,UseNewM
spodata: uniform_100000_01_PL1.wkt,100000,106139,5967,0.05967,0,6139,0.06139,1.00E-04,0.010006311,0.009999641,-1.958294618,-5.118464243,13.19748258,20.57871354,108.3856927,16,13.07614348,13.4920799,7.924829086,uniform_50000_03_PL3.wkt,50000,59361,8560,0.1712,0,9361,0.18722,9.02E-04,0.030110097,0.029915506,-1.958294618,-4.692977033,7.391630301,10.89201016,63.25697608,16,8.66504184,9.984572099,9.625219988,0.928845614,1,0.928845614,0.038204123,0.110064263,6175,0
spodata: uniform_100000_01_PL1.wkt,100000,105989,5819,0.05819,0,5989,0.05989,1.00E-04,0.010006311,0.009999641,-1.958294618,-5.118464243,13.37255702,20.88330876,110.0024002,16,14.4015095,14.92330794,8.527494628,uniform_50000_001_PL1.wkt,50000,50290,289,0.00578,0,290,0.0058,1.01E-06,0.001002765,0.001001463,-1.958294618,-4.693153701,6.32947603,10.16715352,51.06504502,16,10.26441825,10.30938213,1.840527982,1,1,1,0.028650349,0.042639568,405214,0
spodata: uniform_100000_01_PL1.wkt,100000,105517,5366,0.05366,0,5517,0.05517,1.00E-04,0.010006311,0.009999641,-1.958294618,-5.118464243,11.70071508,18.2064394,81.54113726,14,16.64824634,17.22518969,7.850660714,uniform_50000_02_PL2.wkt,50000,55581,5324,0.10648,0,5581,0.11162,3.98E-04,0.019945996,0.019978094,-1.958294618,-4.693151531,6.198456475,9.364412489,44.16598973,14,11.85066653,12.52977733,7.632181066,0.964086979,1,0.964086979,0.032505482,0.097025205,13805,0
spodata: uniform_100000_01_PL1.wkt,100000,106002,5826,0.05826,0,6002,0.06002,1.00E-04,0.010006311,0.009999641,-1.958294618,-5.118464243,13.49079053,20.72776452,110.2227205,16,9.007549102,9.084469164,7.930828661,uniform_50000_003_PL3.wkt,50000,50872,865,0.0173,0,872,0.01744,8.96E-06,0.002998029,0.002994888,-1.958294618,-4.692813762,6.462034236,10.14258572,51.96634902,16,5.971639742,6.017398109,3.349575074,1,1,1,0.018054719,0.044669368,265387,0
spodata: uniform_100000_002_PL2.wkt,100000,101258,1252,0.01252,0,1258,0.01258,4.00E-06,0.002003529,0.00199907,-1.958294618,-5.118745808,11.7625868,19.4082017,88.94513789,16,12.34370937,12.10702276,3.375820809,uniform_50000_002_PL2.wkt,50000,50589,587,0.01174,0,589,0.01178,4.00E-06,0.001995164,0.002007688,-1.958294618,-4.692759048,5.876778366,9.699980439,44.41369756,16,8.44010353,8.29828898,2.365639899,0.999685122,1,0.999685122,0.02080535,0.022956027,2220,0
spodata: uniform_100000_002_PL2.wkt,100000,101121,1116,0.01116,0,1121,0.01121,4.00E-06,0.002003529,0.00199907,-1.958294618,-5.118745808,11.83105388,18.21883111,86.54315549,14,18.35506919,18.5004254,4.335814013,uniform_50000_01_PL1.wkt,50000,52787,2707,0.05414,0,2787,0.05574,1.01E-04,0.010008984,0.009995027,-1.958294618,-4.693072771,6.194518536,9.321530354,46.00012233,14,12.66530869,13.19599182,6.483675617,0.970215106,1,0.970215106,0.032437489,0.053577988,100,0
spodata: uniform_100000_002_PL2.wkt,100000,101251,1247,0.01247,0,1251,0.01251,4.00E-06,0.002003529,0.00199907,-1.958294618,-5.118745808,13.07972859,20.42450579,108.2112451,16,14.05758927,14.20534899,3.651739926,uniform_50000_03_PL3.wkt,50000,59382,8548,0.17096,0,9382,0.18764,9.02E-04,0.030110097,0.029915506,-1.958294618,-4.692977033,7.668543124,11.06582296,66.9418286,16,10.42187311,11.59426927,10.4809027,0.900111844,1,0.900111844,0.025064845,0.091829156,13,0
spodata: uniform_100000_002_PL2.wkt,100000,101162,1160,0.0116,0,1162,0.01162,4.00E-06,0.002003529,0.00199907,-1.958294618,-5.118745808,12.09754602,19.76675167,94.08121408,16,11.52628483,11.42106825,3.365391815,uniform_50000_001_PL1.wkt,50000,50346,346,0.00692,0,346,0.00692,1.01E-06,0.001002765,0.001001463,-1.958294618,-4.693153701,6.010314658,9.852635358,46.61284091,16,8.659673755,8.602834417,2.163811666,1,1,1,0.018542725,0.018058008,6768,1
spodata: uniform_100000_002_PL2.wkt,100000,101098,1089,0.01089,0,1098,0.01098,4.00E-06,0.002003529,0.00199907,-1.958294618,-5.118745808,11.32502652,17.56508406,78.72318564,14,19.0379861,18.9791944,4.220397363,uniform_50000_02_PL2.wkt,50000,55697,5413,0.10826,0,5697,0.11394,3.98E-04,0.019945996,0.019978094,-1.958294618,-4.693151531,6.284919281,9.268954381,45.33508148,14,13.01672816,13.02619054,8.994743626,0.93426302,1,0.93426302,0.034550622,0.081391948,39,0
spodata: uniform_100000_002_PL2.wkt,100000,101234,1225,0.01225,0,1234,0.01234,4.00E-06,0.002003529,0.00199907,-1.958294618,-5.118745808,12.40751008,19.84983293,96.90532499,16,16.70130414,16.66178862,3.441523156,uniform_50000_003_PL3.wkt,50000,50928,920,0.0184,0,928,0.01856,8.96E-06,0.002998029,0.002994888,-1.958294618,-4.692813762,6.236172565,9.951775207,48.79819559,16,11.79762293,11.80825643,3.250418033,0.996223363,1,0.996223363,0.029131404,0.031187209,1013,0
